,term,entity_id,text_1,text_2,text_3,text_4,text_5
0,aboriginal,odwn-10-101180571-n,aboriginal,oorspronkelijke bewoner van Australië,[],['aboriginal'],['oorspronkelijke bewoner van Australië']
1,achterlijke,eng-30-09921409-n,achterlijke,,[],"['sul', 'dwaas', 'meeuw', 'achterlijke', 'idioot', 'sukkel', 'goedzak', 'lobbes']","['al te goed persoon', 'goedige vent', 'bepaalde wit-met-grijze vogel']"
2,achterlijke,eng-30-10100761-n,achterlijke,,[],"['achterlijke', 'debiel', 'druif', 'dwaas', 'gek', 'halvezool', 'idioot', 'imbeciel', 'kwibus', 'lijp', 'lijpo', 'mafkees', 'mafketel', 'mafkikker', 'malloot', 'nar', 'piechem', 'zot']","['onverstandig of gek persoon', 'dwaas persoon', 'onverstandig of gek iemand', 'dwaas persoon', 'dom iemand', 'stommeling', 'raar iemand', 'gek iemand', 'gek iemand', 'raar iemand', 'dwaas iemand', 'gek iemand']"
4,achterlijkheid,achterlijkheid-n-1,achterlijkheid,zwakzinnigheid,[],[],[]
5,achterlijkheid,eng-30-05646218-n,achterlijkheid,,[],['achterlijkheid'],[]
6,afkomst,eng-30-08510456-n,afkomst,,[],"['komaf', 'oorsprong', 'herkomst', 'afkomst', 'origine', 'bakermat', 'haard', 'kraamkamer', 'wieg']","['oorsprong', 'ontstaansplek van iets', 'plaats waar iets of iemand vandaan komt', 'plaats waar iets is ontstaan', 'oorsprong']"
7,afkomst,eng-30-04923743-n,afkomst,geografische of etnische oorsprong,"['ze is van Russische afkomst', 'dit woord is van Grieks-Latijnse afkomst', 'ik ben wie ik ben en ik kan mijn afkomst niet verloochenen', 'van een (bepaalde) afkomst [zijn]']","['afkomst', 'afstamming', 'descendentie', 'geboorte', 'herkomst', 'komaf']","['geografische of etnische oorsprong', 'afkomst', 'afkomst', 'afkomst', 'begin, startpunt']"
18,afkomst,eng-30-07970721-n,geslacht,mensen met gemeenschappelijke afkomst,"['het geslacht van de Bourbons', 'stammen uit een nobel/adellijk geslacht', 'van een voornaam geslacht', 'tot een rijk/adellijk/aanzienlijk/oud geslacht behoren']","['familie', 'geslacht', 'huis', 'maagschap', 'staak', 'stam', 'tak']","['verzameling van bloedverwanten', 'mensen met gemeenschappelijke afkomst', 'geslacht van mensen', 'familietak', 'alle mensen van één geslacht', 'deel v.e. familie']"
20,afkomst,eng-30-06009086-n,afkomst,,[],"['herkomst', 'afkomst', 'oorsprong']",[]
21,afkomst,odwn-10-106166180-v,koketteren,pralen,"['met zijn adellijke afkomst koketteren', 'met zijn slordigheid koketteren']",['koketteren'],['pralen']
