,term,URI,aat_bow,spacy_cs
0,batavia,300012925,"['resin', 'dammar', 'various', 'term', 'jakarta', 'general', 'formerly', 'referring', 'tradename', 'shipped', 'damar']",0.524
1,batavia,300012925,"['resin', 'dammar', 'various', 'term', 'jakarta', 'general', 'formerly', 'referring', 'tradename', 'shipped', 'damar']",0.524
2,batavia,300012925,"['resin', 'dammar', 'various', 'term', 'jakarta', 'general', 'formerly', 'referring', 'tradename', 'shipped', 'damar']",0.524
3,batavia,300012925,"['resin', 'dammar', 'various', 'term', 'jakarta', 'general', 'formerly', 'referring', 'tradename', 'shipped', 'damar']",0.524
4,madras,300265171,"['good', 'made', 'height', 'southeastern', 'coromandel', 'near', 'indian', 'kuancai', 'chinese', 'eastern', 'large', 'china', 'century', 'coast', 'tall', 'feature', 'part', 'main', 'european', 'refers', 'length', 'come', 'border', 'type', 'foot', 'shipped', 'panel', 'often', 'decoration', 'east', 'twenty', 'folding', 'screen', 'transfer', 'mainly', 'wide', 'typically', 'lacquer', 'point', 'india', 'ten', 'name', 'lacquered', 'far', 'twelve', 'around', 'coromandels', 'europe', 'incised', 'gilded']",0.714
5,madras,300265173,"['good', 'made', 'southeastern', 'coromandel', 'near', 'characterized', 'indian', 'known', 'particularly', 'oil', 'also', 'technique', 'eastern', 'china', 'century', 'large', 'coast', 'part', 'central', 'european', 'well', 'colored', 'refers', 'come', 'northern', 'refer', 'japanese', 'familiar', 'brightly', 'type', 'shipped', 'sometimes', 'term', 'decoration', 'east', 'transfer', 'rarely', 'lacquer', 'point', 'india', 'lacquerware', 'name', 'used', 'filled', 'ware', 'far', 'high', 'europe', 'popular', 'incised']",0.692
6,madras,300018959,"['patna', 'scientific', 'company', 'eighteenth', 'interest', 'subject', 'early', 'descendant', 'tended', 'painting', 'passing', 'school', 'indian', 'artist', 'genuine', 'derives', 'style', 'technique', 'adapted', 'lucknow', 'caste', 'european', 'calcuta', 'animal', 'thanjavar', 'late', 'delhi', 'created', 'often', 'east', 'curiosity', 'nineteenth', 'center', 'british', 'scenic', 'culture', 'festival', 'flower', 'india', 'name', 'matter', 'patron', 'environment', 'artistic', 'north', 'consisted', 'rather', 'mughal', 'group']",0.678
7,madras,300021637,"['orhan', 'fireplace', 'shelter', 'indicating', 'began', 'employed', 'ritual', 'completed', 'mihrab', 'direction', 'raised', 'soup', 'style', 'form', 'son', 'bath', 'large', 'unique', 'fountain', 'cross', 'ablution', 'two', 'niche', 'feature', 'octagonal', 'new', 'christian', 'constructed', 'byzantine', 'refers', 'origin', 'central', 'sultan', 'kitchen', 'chamber', 'building', 'four', 'axial', 'visiting', 'murat', 'recorded', 'charitable', 'period', 'coincided', 'bursa', 'stood', 'mosque', 'consisted', 'thermal', 'domed', 'murad', 'construction', 'dome', 'kulliye', 'rule', 'wall']",0.662
8,madras,300417391,"['creatively', 'inspiration', 'regional', 'tool', 'south', 'interpreted', 'search', 'sought', 'city', 'chennai', 'school', 'principal', 'strategy', 'artist', 'sensibility', 'region', 'played', 'form', 'technique', 'state', 'drew', 'tribal', 'modern', 'within', 'rethink', 'interacted', 'cultural', 'pivotal', 'refers', 'along', 'craft', 'independence', 'context', 'native', 'present', 'role', 'attracting', 'led', 'maintaining', 'art', 'vernacular', 'paniker', 'center', 'became', 'post', 'culture', 'traditional', 'southern', 'india', 'tradition', 'day', 'folk', 'identity', 'teacher', 'artistic', 'movement', 'larger', 'student', 'deploying', 'emerged']",0.688
9,madras,300417391,"['creatively', 'inspiration', 'regional', 'tool', 'south', 'interpreted', 'search', 'sought', 'city', 'chennai', 'school', 'principal', 'strategy', 'artist', 'sensibility', 'region', 'played', 'form', 'technique', 'state', 'drew', 'tribal', 'modern', 'within', 'rethink', 'interacted', 'cultural', 'pivotal', 'refers', 'along', 'craft', 'independence', 'context', 'native', 'present', 'role', 'attracting', 'led', 'maintaining', 'art', 'vernacular', 'paniker', 'center', 'became', 'post', 'culture', 'traditional', 'southern', 'india', 'tradition', 'day', 'folk', 'identity', 'teacher', 'artistic', 'movement', 'larger', 'student', 'deploying', 'emerged']",0.688
