,term,entity_id,text_1,text_2,text_3,text_4,text_5
0,bediende,eng-30-10763383-n,ober,bediende in een eet- of drinkgelegenheid,"['ober!, twee pils alstublieft', 'ober!']","['kelner', 'ober']","['persoon die bedient', 'bediende in een eet- of drinkgelegenheid']"
2,blanke,eng-30-15110454-n,lak,"afwerking voor op verf, hout, metaal","['blanke/kleurloze/naturel lak', 'iets in de lak zetten']",['lak'],"['afwerking voor op verf, hout, metaal']"
3,ontdekken,odwn-10-102768591-n,massagraf,graf met groot aantal lijken,"['op een massagraf stuiten', 'een massagraf vinden/ontdekken']",['massagraf'],['graf met groot aantal lijken']
4,ontdekken,eng-30-00410247-n,patroon,herkenbare lijn in gebeurtenissen,"['de komende dagen verplaatst dit hele patroon zich wat naar het zuidwesten', 'een patroon van [aanslagen/symptomen]', 'de stakingen lopen volgens hetzelfde patroon als de vorige keer', 'volgens een patroon', 'een systematisch patroon van opklaringen', 'een terugkerend/systematisch patroon', 'de ijsconsumptie volgt een duidelijk patroon', 'iets volgt een patroon', 'een patroon (proberen te) ontdekken', 'ditzelfde patroon tekent zich in andere landen af', 'een patroon tekent zich af', 'een vast/klassiek/grillig patroon']","['uitoefening', 'oefening', 'zich oefenen', 'oefenen', 'praktijk', 'gebruik', 'patroon', 'stramien']",['herkenbare lijn in gebeurtenissen']
5,stam,eng-30-08102555-n,stam,,[],['stam'],[]
6,stam,stamlid-n-1,stamlid,iemand die bij een stam hoort,[],[],[]
7,traditionele,odwn-10-105566088-n,volksmuziek,traditionele muziek,['volksmuziek spelen'],['volksmuziek'],['traditionele muziek']
9,traditionele,odwn-10-104962313-n,rolpatroon,gedragspatroon verbonden aan een rol,"['bij het traditionele rolpatroon zien we dat de man werkt en de vrouw voor de kinderen zorgt', 'het geijkte/traditionele rolpatroon', 'als we het rolpatroon willen doorbeken zullen de mannen ook voor de kinderen moeten gaan zorgen', 'een rolpatroon doorbreken']",['rolpatroon'],['gedragspatroon verbonden aan een rol']
11,traditionele,eng-30-02350175-v,vrijmaken,bevrijden van,['zich van zijn traditionele rol vrijmaken'],"['afhelpen', 'bevrijden', 'vrijmaken']","['iemand van iets verlossen', 'verlossen, helpen uit nare situatie', 'bevrijden van']"
12,wit,eng-30-04580298-n,wit,"witte kleren, bekleding",['Het wit moet gewassen worden'],['wit'],"['witte kleren, bekleding']"
14,wit,odwn-10-109011976-v,witwassen,geld wit maken,['(zwart) geld witwassen'],['witwassen'],['geld wit maken']
16,wit,ir.-n-1,ir.,titel voor een ingenieur,['mw. ir. L.J. Wit'],[],[]
17,wit,eng-30-02852173-n,knipperlicht,licht dat voortdurend aan en uit gaat,"['een rood/wit/oranje knipperlicht', 'automatische knipperlichten']",['knipperlicht'],['licht dat voortdurend aan en uit gaat']
18,witte,odwn-10-106085430-n,vloed,het vloeien van lichaamsvochten,['witte vloed'],['vloed'],['het vloeien van lichaamsvochten']
19,witte,eng-30-00753685-n,fraude,administratief of financieel bedrog,"['de fraude loopt in de honderden miljoenen', 'onderzoek naar mogelijke fraude', 'medeplichtigheid aan fraude', 'medewerking verlenen aan fraude', 'internationale fraude', 'fraude met [verzekeringen/examens/belastingen]', 'de fraude aanpakken/bestrijden', 'velen onder hen zijn schuldig bevonden aan fraude', 'schuldig bevonden aan fraude', 'grootschalige fraude', 'witte/zwarte fraude', 'fiscale/sociale fraude', 'fraude plegen']","['oplichterij', 'hoax', 'fraude', 'geknoei', 'gerommel', 'gesjoemel', 'knoeierij']","['misleiding', 'administratief of financieel bedrog', 'oneerlijke handelwijze', 'frauduleuze praktijken', 'frauduleuze praktijken', 'bedrog', 'bedrieging door oneerlijke handel']"
20,witte,eng-30-04580298-n,wit,"witte kleren, bekleding",['Het wit moet gewassen worden'],['wit'],"['witte kleren, bekleding']"
22,witte,eng-30-00835032-n,adem,lucht die mensen in- en uitblazen,"['een slechte adem', 'deze tandpasta zorgt voor witte tanden en een frisse adem', 'frisse adem', ""adem even inhouden, zei de dokter terwijl hij aan m'n longen luisterde"", 'de adem inhouden', 'iemand de adem smoren', 'zijn adem stokt (in zijn keel)']","['pauze', 'adempauze', 'ademhaling', 'ademteug', 'adem', 'asem']","['lucht die mensen in- en uitblazen', 'adem']"
23,witte,eng-30-03178782-n,tekening,natuurlijk patroon van lijnen en kleuren,"['het behang heeft een prachtige, vlammende tekening in geel en beige', 'een zebra heeft een tekening van zwarte en witte strepen']","['aftekening', 'dessin', 'patroon', 'tekening', 'werkje']","['patroon', 'versiering van herhaalde figuren', 'natuurlijk patroon van lijnen en kleuren', 'versiering']"
24,witte,odwn-10-106957955-n,vlag,doek als symbool v.e. partij of land,"['de vlag wappert in de wind', 'de vlag van de grensrechter ging omhoog', 'iets met vlaggen versieren', 'de vlaggen halfstok hangen/hijsen', 'een vlag voeren', 'de vlag uitsteken', 'onder Nederlandse vlag varen', 'onder [Nederlandse/vreemde] vlag', 'je moet de vlag strijken voor zonsondergang', 'een vlag hijsen/strijken', 'ze kwamen met de witte vlag naar buiten', 'de witte vlag']",['vlag'],['doek als symbool v.e. partij of land']
26,zwart,odwn-10-109011976-v,witwassen,geld wit maken,['(zwart) geld witwassen'],['witwassen'],['geld wit maken']
27,zwart,odwn-10-102616506-v,schilderen,beeldend beschrijven,"['iemand zwart schilderen', 'zijn gehoor een prachtige, roemrijke toekomst schilderen']",['schilderen'],['beeldend beschrijven']
28,zwart,eng-30-04752221-n,ongelijkheid,eigenschap van niet gelijk zijn,"['sociale/maatschappelijke ongelijkheid', 'ongelijkheid tussen [zwart] en [blank]', 'ongelijkheid in [de verdeling]']",['ongelijkheid'],['eigenschap van niet gelijk zijn']
29,zwart,eng-30-13384557-n,geld,algemeen betaalmiddel,"['iets te gelde maken', 'de waarde in geld uitdrukken', 'geld uitzetten', 'waar voor zijn geld krijgen', '(veel) geld in iets steken', 'geld wisselen', 'giraal geld', 'papieren geld', 'met gepast geld betalen', 'klein geld', 'groot geld', 'het grote geld', 'grof geld (verdienen)', 'baar/contant/cash geld', 'vals geld', 'zwart geld', 'plastic geld', 'zwart geld witwassen']","['centen', 'duiten', 'geld', 'pecunia', 'pegulanten', 'pingping', 'poen']","['algemeen betaalmiddel', 'geld']"
31,zwart,eng-30-00824767-v,verwijten,kwalijk nemen,"['de pot verwijt de ketel dat hij zwart ziet', 'hij verweet me dat ik altijd te laat kwam', 'iemand verwijten dat hij altijd te laat komt', 'het resultaat was niet goed, maar ik weet dat ik me niets te verwijten heb', 'je(zelf) niets te verwijten hoeven/hebben']","['schelden', 'op het matje roepen', 'berispen', 'aanrekenen', 'aantijgen', 'aanwrijven', 'imputeren', 'inwrijven', 'nadragen', 'verwijten']","['kwalijk nemen', 'wrijven tegen', 'kwalijk nemen']"
32,zwarte,eng-30-02391994-n,neushoorn,groot dikhuidig zoogdier,['een witte/zwarte neushoorn'],"['neushoorn', 'rinoceros']","['groot dikhuidig zoogdier', 'neushoorn']"
33,zwarte,odwn-10-102896373-n,nachtschade,bepaalde plantenfamilie,['zwarte nachtschade'],['nachtschade'],['bepaalde plantenfamilie']
34,zwarte,eng-30-12770736-n,ebben,"harde, kostbare, veelal zwarte houtsoort",['Ebben komt uit kleine boompjes.'],"['ebbehout', 'ebben', 'ebbenhout']","['harde, kostbare, veelal zwarte houtsoort', 'bepaalde houtsoort']"
36,zwarte,eng-30-13854649-n,tegenstelling,verschil tussen tegenovergestelde zaken,"['tegenstellingen tussen [bevolkingsgroepen]', ""in tegenstelling met/tot ['zwarte schoenen'/humor/de banken]"", 'in tegenstelling met/tot [de Paus/het landbouwbeleid]', 'een scherpe/schrille/grote tegenstelling']","['antithese', 'contrast', 'tegenstelling']","['plaatsing tegenover elkaar', 'opvallende tegenstelling', 'verschil tussen tegenovergestelde zaken']"
37,zwarte,eng-30-01091905-n,handel,aankoop en verkoop,"['de internationale handel', 'die maatregelen zijn bedoeld om de handel met China te bevorderen', 'binnenlandse/buitenlandse handel', 'illegale handel', 'het middel is normaal in de handel verkrijgbaar', ""in de handel (zijn/'verkrijgbaar zijn')"", 'handel tussen/met [landen/mensen]', 'die familie zit al langer dan een eeuw in de handel', 'in de handel (zitten)', 'handel in [drugs]', 'vrije handel', 'een willige handel', 'handel drijven', 'er mag geen handel meer worden gevoerd met dat land', 'handel voeren', '(rijk worden in) de zwarte handel']","['business', 'commerce', 'commercie', 'handel', 'handelsverkeer', 'negotie', 'zaak']","['zakenwereld/zaken', 'handel', 'aankoop en verkoop', 'verkeer van goederen', 'handel', 'handelsonderneming']"
38,zwarte,odwn-10-103828516-v,lozen,zich ontdoen van,"['een partij goederen in het zwarte circuit lozen', 'ken jij soms een middel om die dronkelap te lozen?', 'een dronkelap lozen']",['lozen'],['zich ontdoen van']
39,zwarte,garderobe-n-1,garderobe,verzameling kleren,"['een uitgebreide garderobe', 'bij de inboedel hoort een hele garderobe van zwarte kleren', 'zijn garderobe vernieuwen']",[],[]
40,zwarte,eng-30-03178782-n,tekening,natuurlijk patroon van lijnen en kleuren,"['het behang heeft een prachtige, vlammende tekening in geel en beige', 'een zebra heeft een tekening van zwarte en witte strepen']","['aftekening', 'dessin', 'patroon', 'tekening', 'werkje']","['patroon', 'versiering van herhaalde figuren', 'natuurlijk patroon van lijnen en kleuren', 'versiering']"
