target_term,entity_id,check
aboriginal,Q10474818,TRUE
aboriginal,Q1131830,TRUE
aboriginal,Q12060728,TRUE
aboriginal,Q1236246,TRUE
aboriginal,Q12860160,TRUE
aboriginal,Q15783496,TRUE
aboriginal,Q16334334,TRUE
aboriginal,Q17315091,TRUE
aboriginal,Q22662643,TRUE
aboriginal,Q2503419,TRUE
aboriginal,Q2552587,TRUE
aboriginal,Q2593327,TRUE
aboriginal,Q28942344,TRUE
aboriginal,Q33103591,TRUE
aboriginal,Q41869663,TRUE
aboriginal,Q56759265,TRUE
aboriginal,Q60227393,TRUE
aboriginal,Q6970089,TRUE
aboriginal,Q85371014,TRUE
aboriginal,Q24090084,TRUE
aboriginal,Q24185599,TRUE
aboriginal,Q28136029,TRUE
aboriginal,Q29325992,TRUE
aboriginal,Q3569807,TRUE
aboriginal,Q52808407,TRUE
aboriginal,Q55964576,TRUE
aboriginal,Q56755755,TRUE
aboriginal,Q56756818,TRUE
aboriginal,Q58764695,TRUE
aboriginal,Q6132438,TRUE
aboriginal,Q8039196,TRUE
aboriginal,Q8276093,TRUE
aboriginal,Q85370946,TRUE
aboriginal,Q97632680,TRUE
aboriginal,Q98162756,TRUE
aboriginal,Q106936049,TRUE
aboriginal,Q11593180,TRUE
aboriginal,Q29325982,TRUE
aboriginal,Q48789958,TRUE
aboriginal,Q48815234,TRUE
aboriginal,Q56818358,TRUE
aboriginal,Q71831638,TRUE
aboriginal,Q8053824,TRUE
aboriginal,Q98961351,TRUE
aboriginal,Q16733576,TRUE
aboriginal,Q17011600,TRUE
aboriginal,Q24204956,TRUE
aboriginal,Q65089586,TRUE
aboriginal,Q8010914,TRUE
aboriginal,Q864079,TRUE
asian,Q256408,TRUE
asian,Q41975,TRUE
asian,Q42865,TRUE
asian,Q4806809,TRUE
asian,Q525073,TRUE
asian,Q728802,TRUE
asian,Q98791736,TRUE
asian,Q1651597,TRUE
asian,Q25530138,TRUE
asian,Q3399573,TRUE
asian,Q727638,TRUE
asian,Q100253449,TRUE
asian,Q10838732,TRUE
asian,Q1359655,TRUE
asian,Q4651742,TRUE
asian,Q67099866,TRUE
asian,Q98528267,TRUE
asian,Q18208366,TRUE
asian,Q50810782,TRUE
asian,Q729130,TRUE
asian,Q10564101,TRUE
asian,Q1278107,TRUE
asian,Q25927640,TRUE
asian,Q51356976,TRUE
asian,Q62495780,TRUE
asian,Q753880,TRUE
asian,Q1206580,TRUE
asian,Q3007484,TRUE
asian,Q50948445,TRUE
asian,Q96376878,TRUE
asian,Q58008209,TRUE
asian,Q15977619,TRUE
asian,Q101018399,TRUE
asian,Q99600034,TRUE
asian,Q106443378,TRUE
asian,Q61774237,TRUE
asian,Q64679539,TRUE
asian,Q1223088,TRUE
asian,Q25100023,TRUE
asian,Q108732294,TRUE
asian,Q110140839,TRUE
asian,Q110140837,TRUE
asian,Q5060370,TRUE
asian,Q5260156,TRUE
asian,Q6540244,TRUE
asian,Q30688187,TRUE
asian,Q3430369,TRUE
asian,Q3524847,TRUE
asian,Q98107817,TRUE
asian,Q98603280,TRUE
batavia,Q102227440,TRUE
batavia,Q102227450,TRUE
batavia,Q102227451,TRUE
batavia,Q104534226,TRUE
batavia,Q104534271,TRUE
batavia,Q105905001,TRUE
batavia,Q105905004,TRUE
batavia,Q105905484,TRUE
batavia,Q105905499,TRUE
batavia,Q105938748,TRUE
batavia,Q106687801,TRUE
batavia,Q107983020,TRUE
batavia,Q108409363,TRUE
batavia,Q108409366,TRUE
batavia,Q110324540,TRUE
batavia,Q110353810,TRUE
batavia,Q110353813,TRUE
batavia,Q110409860,TRUE
batavia,Q110423831,TRUE
batavia,Q110424701,TRUE
batavia,Q110518542,TRUE
batavia,Q1150578,TRUE
batavia,Q117812,FALSE
batavia,Q1199713,TRUE
batavia,Q12516024,TRUE
batavia,Q13221466,TRUE
batavia,Q1380988,FALSE
batavia,Q17328469,TRUE
batavia,Q17338375,TRUE
batavia,Q17340464,TRUE
batavia,Q1934021,FALSE
batavia,Q2221026,TRUE
batavia,Q23043356,TRUE
batavia,Q2320732,TRUE
batavia,Q25193157,TRUE
batavia,Q2586938,TRUE
batavia,Q2603206,TRUE
batavia,Q30603082,TRUE
batavia,Q31814708,FALSE
batavia,Q42335755,TRUE
batavia,Q66302646,TRUE
batavia,Q80031494,TRUE
batavia,Q85745702,FALSE
batavia,Q96242430,TRUE
batavia,Q96242448,TRUE
batavia,Q96242508,TRUE
batavia,Q96291124,TRUE
batavia,Q98716492,TRUE
batavia,Q98879926,TRUE
batavia,Q104534511,TRUE
berber,Q102679,TRUE
berber,Q107168558,TRUE
berber,Q11156769,TRUE
berber,Q1267932,TRUE
berber,Q15253774,TRUE
berber,Q16146487,TRUE
berber,Q16209031,TRUE
berber,Q1775944,TRUE
berber,Q18640884,TRUE
berber,Q19835346,TRUE
berber,Q25028947,TRUE
berber,Q25028951,TRUE
berber,Q25028959,TRUE
berber,Q2511788,TRUE
berber,Q2518185,TRUE
berber,Q2741732,TRUE
berber,Q3123021,TRUE
berber,Q3398927,TRUE
berber,Q35854,TRUE
berber,Q4783129,TRUE
berber,Q49877791,TRUE
berber,Q55922688,TRUE
berber,Q55959930,TRUE
berber,Q679042,TRUE
